SizeRank,City,State,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31
24,El Paso,TX,91350,91367,91398,91432,91475,91514,91511,91484,91109,90575,89850,89481,89241,89097,88720,88414,88141,87993,87853,87716,87722,87725,87749,87567,87321,87095,87059,87087,87231,87358,87623,87849,88180,88537,88881,89269,89470,89636,89664,89720,89802,89931,90198,90648,91176,91662,92147,92537,93006,93689,94630,95669,96577,97648,98766,99769,100429,101074,101683,102093,102601,103135,103932,104405,104844,105205,105720,106428,107298,108182,108973,109667,110261,110829,111674,112844,114282,115853,117463,119211,121169,123358,125227,126443,126578,126784,126822,127865,128981,130742,132207,133250,133777,134110,134759,135370,134945,133847,132492,131872,131317,130726,129869,128962,128402,128293,128282,127931,127462,127174,126870,126322,125703,125232,125065,124972,124831,124691,124696,125002,125785,126331,126708,126389,126425,126196,125954,125473,125286,124919,124547,124013,123684,123389,123360,123634,123635,123260,122852,122661,122515,122208,121932,121863,122016,121883,121462,120741,120330,120051,119934,119739,119452,119007,118516,118337,118568,119146,119771,120135,120285,120328,120342,120264,119824,119218,118708,118562,118901,119228,119633,119804,120098,120229,120398,120432,120314,119926,119640,119584,119785,120020,120489,121060,121657,122059,122354,122777,123062,123272,123128,123117,123227,123549,123833,124244,124590,124940,125058,125261,125481,125879,126318,126870,127350,127854,128469,129282,129927,130345,130411,130344,130035,129760,129639,129895,130287,130563,130760,130872,131104,131387,131895,132418,132904,133112,133421,133790,134039,134163,134169,134307,134485,134866,135244,135750,136210,136869,137466,138125,138780,139470,140184,141008,141703,142378,143098,144134,145585,147338,149221,150863,152381,154020,155835,157938,160196,162735,165104,167099,168543,169770,171276,173123,175654,178359,181185,183992,186720,189591,192043,193891,195030,195774,196534,197110,198193
25,Washington,DC,146896,147380,148048,149493,151094,152837,154499,155931,157004,157280,157552,157882,158612,159361,160395,161969,163765,165524,167299,169258,171334,173415,175403,177419,179353,181293,183075,185136,187454,190057,192612,195030,197539,200226,203454,206823,209868,212493,214890,217580,220456,223467,226449,229295,232062,235145,237875,240339,242837,245502,248664,251789,255509,259577,264359,268904,274087,280250,286557,291300,293583,296752,301231,307184,312163,316755,321751,327440,332869,337096,340833,344333,347869,350888,353929,356632,358847,359941,359786,359308,358678,357650,356050,354558,354023,354862,355969,356887,357305,357394,357402,357324,357335,357763,358026,357812,357257,356482,355471,354016,352513,351061,348880,345979,343401,341961,340767,339171,338572,338670,338556,336830,334206,332264,330147,328328,326188,323950,323055,323987,325643,326211,325923,326870,329771,332950,334737,335426,334630,333532,331586,330909,329976,329653,329016,328905,328754,328649,328861,328543,328355,327728,327382,326632,326702,326932,327255,327372,328145,329906,332507,335723,339967,344710,349572,354085,357878,361231,363337,365452,368296,372531,377170,381798,387188,393141,398319,402114,404576,407513,410219,413591,416640,419537,422521,425217,427833,430112,432560,435277,437033,438344,438994,440382,441799,444098,447162,450694,454650,458587,462815,466566,469426,471752,473349,474768,475786,476785,477701,478827,479976,481927,485166,489160,492173,494077,495319,497364,498829,500955,503046,504972,506579,507606,508972,511103,515127,520046,524900,528201,531308,533244,535247,536616,538471,540302,542697,544362,545730,546259,548244,550778,552701,553112,553219,553636,554257,555253,556862,558858,562071,566437,572046,577533,581044,582382,583194,585618,590078,594609,599268,603064,605775,608087,611408,615847,621262,626395,629430,629698,628181,627611,627950,628258,629259,632749,639794,646657,650849,650879,647098,640856,632998,627366,623083,619359,615691
26,Boston,MA,175760,176690,177842,180060,181376,182325,183691,187186,191075,194908,197694,200362,202853,205516,208564,211548,214665,217620,220705,223221,225826,228735,231709,234310,236072,238041,240275,242751,245205,247436,249709,252096,254554,257539,260747,264064,267189,270132,273124,275618,278038,279996,281840,283285,284889,286694,288898,291026,293079,294733,296687,298580,300837,302898,305164,307376,309516,312169,314837,318118,320777,323889,326969,330126,332852,334657,336185,337310,338659,339392,340240,339886,339168,337318,336441,335350,335059,334107,333432,331371,328781,326368,324821,323652,322887,322921,322621,322542,321750,322097,321933,321647,321252,320407,319477,317639,315747,312687,310845,309537,310227,310139,309051,306569,304076,302006,300488,299034,297909,296589,294638,292548,290866,289693,288909,288655,288830,289185,288983,288497,288510,289586,291435,293738,295485,297563,298193,297814,295973,294610,293431,293179,292860,292815,292108,291518,291181,290750,289993,288723,287633,286824,287029,287560,288079,288920,290860,293940,297233,300762,304244,307814,310616,313123,315354,317717,320815,324503,328363,331484,334672,338692,342878,346964,351031,355806,360385,364179,367394,370686,374538,378663,382597,385418,387501,389559,392248,395078,398032,401343,405266,409526,414132,418309,421942,424433,427756,432840,438924,444757,449425,454095,458405,461123,462837,464133,466366,468861,471112,473087,475364,478750,483992,489625,494067,497258,501010,506413,511898,517541,522621,527284,530958,533034,534476,536227,539177,543180,548322,553929,559798,563486,566257,568189,570284,571951,573613,574512,574988,574508,574986,576489,577835,578943,579177,579134,578705,579417,580797,581893,583711,585993,588972,590786,592873,594243,595642,596969,600216,604613,610030,614913,618573,622130,625552,629193,632592,635746,641214,648083,655203,660778,665108,668954,671406,674547,679310,685412,691159,695027,694777,689806,681358,674480,670306,667575,665946
27,Detroit,MI,18353,18457,18673,19046,19482,19899,20272,20624,20957,21429,21970,22443,22736,22868,22966,23148,23387,23615,23804,24035,24289,24431,24483,24487,24582,24605,24638,24581,24636,24797,25030,25286,25428,25597,25691,25812,25894,26026,26168,26393,26627,26859,27040,27268,27444,27656,27856,28103,28336,28462,28579,28628,28689,28775,28917,29105,29260,29402,29515,29610,29718,29821,29956,30094,30250,30416,30556,30704,30821,30935,31047,31214,31408,31596,31757,31881,32002,32115,32233,32336,32345,32290,32243,32235,32241,32180,32117,32080,32023,31936,31815,31684,31423,31033,30667,30427,30248,29881,29212,28242,27080,25840,24524,23112,21819,20827,19987,18940,17582,16200,14932,13886,12979,12373,12076,11958,11796,11350,10856,10344,9985,9630,9380,9234,9215,9324,9356,9298,9110,8944,8816,8731,8708,8679,8615,8406,8162,7885,7645,7488,7401,7341,7289,7234,7241,7236,7209,7120,7085,7142,7269,7380,7523,7640,7717,7777,7866,8023,8087,8190,8357,8617,8919,9208,9508,9760,9863,9969,9994,10046,10079,10258,10539,10859,11201,11483,11759,12004,12227,12403,12448,12592,12822,13135,13477,13751,14070,14356,14725,15109,15409,15557,15679,15965,16329,16751,17107,17501,17668,17761,17812,18034,18244,18381,18441,18574,18808,19066,19309,19628,20059,20647,21309,22110,22704,23241,23648,24175,24842,25521,26202,26675,27401,28096,28924,29500,30241,30991,31833,32585,33413,34310,35401,36650,37538,38106,38011,37947,37930,38393,38846,39290,39852,40980,42017,42358,42193,42252,43311,45254,47694,50180,52402,54581,56692,58566,60339,62093,63318,64102,64171,64284,64517,65202,66559,68552,70793,72629,74240,75658,76151,75069,72709,70856,69806,69591,71284
28,Nashville,TN,124451,124662,124849,125320,125771,126080,126377,126619,127008,127383,127673,127907,128069,128393,128801,129195,129553,129934,130329,130666,130928,131201,131462,131702,131900,132172,132441,132738,133042,133418,133791,134102,134335,134579,134740,134876,134907,135053,135149,135213,135478,135968,136628,137107,137427,137757,137994,138250,138414,138709,139121,139721,140316,140841,141244,141576,141855,142200,142676,143068,143450,143941,144647,145368,146126,147244,148832,150448,152143,153427,154394,154868,155053,155298,155807,156552,157607,158902,160246,161382,162076,162782,163343,163920,164210,164340,164623,165174,166146,167205,168238,168950,169024,168495,167711,167141,166680,166380,166253,166686,167081,167128,166375,165462,164511,164067,163347,162434,161726,161394,160924,159810,158621,157754,156880,156201,155701,155590,155612,155433,155368,155196,155202,155202,155043,154662,153993,153278,152472,151489,150608,149709,148649,147635,146938,146787,146757,146486,145855,144998,144141,143602,143191,143027,142910,142923,143079,143345,143635,144085,144838,145678,146424,146931,147440,147997,148709,149496,150326,151337,152431,153540,154492,155459,156525,157783,159104,160567,161918,163073,164048,164987,166010,166874,167972,169095,170448,171607,173092,174784,176645,178442,180023,181418,182827,184325,186340,188770,191529,194313,197147,200023,202463,204605,206446,208614,210789,213069,215268,217561,220134,222895,225627,228256,230716,233138,235756,238247,240388,241930,243443,245129,247002,249000,251143,253445,256145,259077,262052,264404,266235,267381,268504,269455,270380,271299,272255,273284,273957,274476,274777,274855,274758,274779,275071,275662,276564,277696,279043,280409,282708,285383,288230,290021,290710,291188,292192,294221,297250,300590,304266,307713,311415,315512,320035,324551,329418,334928,341048,346201,350528,354765,360376,367002,375273,385082,396162,406952,416460,424000,428506,429752,428312,426187,423587,420160,417221
29,Miami,FL,114722,115194,115614,116452,117203,117964,118748,119479,120224,120886,121629,122409,123246,124102,124950,125933,127043,128314,129740,131359,133043,134574,135990,137413,138941,140507,142063,143727,145375,147159,149135,151307,153309,155086,156687,158791,161241,163913,166485,169084,171516,173755,175659,177746,180133,182652,185091,186981,189006,191072,193788,196436,199527,202697,206237,210031,213957,218098,222257,226739,231177,235500,239546,243462,248353,254170,260483,266608,273189,279411,284617,288821,293293,297547,302764,308513,314682,319381,323194,326018,328129,329316,330790,332507,333506,334443,334144,334202,333434,332650,331465,329937,327267,324740,321268,318597,312426,305031,296244,288787,282072,275434,268759,261135,253263,245527,238432,231005,223879,217357,211542,205858,200319,195835,191669,188045,184379,181172,178850,176993,176003,175133,174591,174148,173647,172605,171444,170224,169042,167137,165016,163198,161585,160114,158854,158079,157344,156490,155739,155237,155172,155727,156501,157054,157636,157811,157932,157976,158550,160213,162516,165230,167849,170282,172818,175612,178349,180946,183607,187171,191351,195824,200337,204647,208856,212448,215658,218475,220091,221422,222456,224640,227182,229497,231603,233408,235563,237872,240513,243513,246028,248415,250437,253327,256350,259157,261395,263628,266054,268619,271062,273243,275060,276759,278213,279641,280724,282142,283533,284877,285939,287377,288732,289472,289455,289977,291279,293065,294497,295890,296960,297909,298719,299801,300979,302441,305718,310125,315267,318890,321833,323894,325752,327049,328194,329344,331026,333056,334406,335621,336219,336689,336318,335863,335753,336223,337210,338855,341234,344134,347236,350414,353414,355521,355666,354588,353483,354107,356434,360098,364632,369432,374008,378037,382262,386421,391453,396657,403241,410110,416902,423110,429873,437429,447121,458054,470907,483820,495940,506839,515297,520856,523121,524734,526668,528053,528788
30,Sacramento,CA,114851,115165,115639,116517,117564,118570,119851,121217,122828,124538,126468,128434,130300,132128,133957,136217,138712,141662,144494,147052,149090,150785,152296,153911,155239,156791,158284,160162,162151,164403,166892,169906,173047,176332,179545,182621,185453,187815,190251,193275,196481,199881,202762,205916,208759,211971,214823,217821,220693,223752,227049,229883,233491,237878,244093,250342,256570,262094,267693,272529,277738,282854,287717,292493,296950,301941,306594,310913,315222,318900,322267,325144,326968,328078,328066,328423,327999,327649,326548,325310,323014,318837,314694,310086,306472,303690,301708,300058,297010,292806,288155,283644,279524,273876,267459,262632,257670,252208,243975,236113,228531,221027,213908,206740,199115,193025,187803,184338,180462,176698,173860,172055,170482,168969,166185,163563,161298,160280,160076,159445,159129,158762,158939,158642,158545,158268,158148,157507,155825,153942,152511,152214,151589,150315,148468,146709,144709,142355,140379,139098,138535,137481,136190,134914,134467,134467,134820,135161,135753,136710,137790,139141,140824,143162,146145,149588,153628,157649,161731,165756,170118,174832,179165,183351,187475,192077,196164,199000,200947,202407,204387,206571,209171,211059,211955,212142,212605,213713,215401,217170,219005,220775,222575,224611,226976,229449,231489,233261,235474,238487,242019,245235,248512,251565,254461,256996,259354,261571,263166,264536,266318,268483,271010,273253,275725,278104,280614,283049,285452,287783,289825,291751,293713,296253,298835,301673,304590,307476,310096,311996,313937,315598,316764,317325,317518,317972,318402,318901,319713,320909,322513,323767,324718,325581,326544,327621,328915,330605,332887,335019,337376,339735,342602,345270,346764,347389,347996,350076,353864,359125,365724,372951,380392,387579,394428,400977,407307,413143,418180,421425,423552,425290,427996,431595,437234,444810,454104,462560,469248,473399,474309,472011,467486,462775,458116,453293,447961
31,Memphis,TN,69729,69732,69753,69871,70038,70234,70449,70699,70957,71176,71326,71502,71632,71781,71872,72002,72138,72290,72434,72627,72823,73021,73203,73293,73394,73451,73540,73551,73541,73564,73620,73709,73803,73930,74028,74138,74219,74342,74489,74661,74865,75045,75166,75235,75295,75399,75516,75654,75740,75803,75821,75783,75804,75856,75988,76134,76259,76480,76698,76991,77276,77622,77966,78287,78567,78820,79109,79389,79615,79800,79987,80251,80481,80683,80892,81152,81410,81628,81839,82087,82402,82722,82921,82961,82849,82815,82919,83100,83208,83153,83009,82736,82349,81866,81162,80333,79035,77532,76114,75108,74475,73895,73355,72739,72058,71235,70303,69341,68395,67497,66630,65747,64918,63867,63020,62242,61747,61150,60552,60073,59734,59485,59262,59110,59038,59011,58889,58593,58090,57556,56965,56360,55605,54901,54140,53635,53187,52975,52783,52650,52499,52122,51792,51299,51145,51244,51767,52303,52798,53103,53503,53650,53845,53628,53122,52228,51442,51032,51283,51913,52669,53157,53394,53744,54260,55083,55844,56754,57501,58285,58836,59568,60316,61024,61670,62004,62152,61914,61929,62188,62570,62787,62853,62836,62999,63217,63535,63694,63862,64152,64518,64920,65394,65810,65992,65935,65731,65695,65655,65972,66429,67175,68007,68856,69491,69936,70343,70850,71402,71937,72564,73352,74303,75348,76377,77303,77904,78250,78579,79275,80170,81100,81902,82745,83503,84342,85294,86510,87465,88198,88673,89132,89576,90147,90764,91197,91445,91758,92433,93406,94479,95559,96474,97453,98164,98816,99305,100171,101650,103820,106329,108584,110736,112722,114958,117004,119117,121389,122912,123584,123397,123825,125037,126714,129256,132233,135524,138424,140957,143378,145163,146271,146782,147121,147200,146644,145968
32,Baltimore,MD,50433,50413,50429,50480,50615,50771,50939,51080,51218,51381,51550,51727,51833,51916,51965,52030,51955,51978,52181,52541,52870,53136,53310,53403,53411,53523,53675,53828,53984,54204,54498,54868,55232,55591,55948,56299,56605,56860,57089,57339,57573,57835,58103,58426,58801,59173,59557,59884,60194,60494,60878,61377,61996,62646,63338,64048,64905,65893,66959,68104,69159,70071,70785,71446,72267,73263,74760,76793,78787,80561,82020,83533,84936,86218,87590,89030,90410,91788,93112,94354,95553,96764,97943,98954,99724,100442,101097,101530,102076,102708,103636,104322,104809,105087,105231,105028,104848,104783,105306,106057,106641,106646,105902,104894,103813,102751,101914,101308,100918,100305,99162,97551,96038,95015,94277,93286,92402,91616,91209,90273,89504,88732,88632,88923,89489,89702,89348,88285,86784,85273,83845,82725,81473,79544,77325,75551,74673,74058,73064,71948,70936,70206,69469,68796,68179,68302,68756,69344,69655,69887,70374,71046,71953,72366,72707,73055,74138,75413,76727,78044,79647,81495,82920,84099,84861,85849,86537,87265,87927,89002,90019,90826,91533,91987,92732,93074,93301,93301,93474,93637,92945,91980,91609,92206,93339,94387,95127,95614,95769,96259,96471,96913,97079,97361,97352,97277,97165,97240,97515,98300,99474,100735,101896,102858,103629,104101,104334,104575,104811,105138,105644,106378,107342,108443,109335,110317,111261,112673,114247,115504,116627,117474,118728,119672,120473,120974,121535,122099,123233,124731,126853,128684,129947,130602,130875,131018,130696,130567,131211,132790,134453,135690,136619,137564,137758,137024,135908,135218,135706,137210,140092,143287,146355,149193,151804,154267,156741,159035,160597,161060,160893,160883,161470,162871,165048,167758,170304,172341,173527,174305,174033,172833,171436,170771,170825,171407,173751
33,Pittsburgh,PA,61999,62043,62134,62288,62519,62741,63017,63230,63483,63708,63924,64069,64201,64404,64600,64837,65058,65339,65652,65942,66220,66453,66723,67103,67479,67840,68151,68428,68724,68872,69103,69502,69921,70259,70344,70421,70629,70832,71015,71192,71594,72373,73121,73593,73650,73585,73379,73315,73131,73272,73499,73736,73987,74232,74549,74745,74955,75313,75779,76126,76424,76220,76034,76042,76414,76806,76977,77211,77345,77420,77510,77665,77862,78124,78476,78923,79384,79932,80230,80347,80217,80279,80390,80598,80740,80921,81054,81105,81222,81409,81801,82162,82535,82913,83306,83683,83936,84026,84136,84629,85302,85737,85813,85645,85603,85413,85121,84375,83690,83534,83733,83817,83671,83629,83777,83769,83781,83953,84579,85400,86239,87010,87906,88963,89638,89919,89843,89689,89473,89151,88817,88445,88249,88067,87920,87574,87211,86743,86398,86167,86200,86012,85826,85669,85775,86068,86422,86508,86622,86600,87202,87802,88422,88516,88428,88397,88469,88470,88865,90188,92284,94230,95444,96144,96631,97045,97496,97958,98207,98311,98466,99121,99988,100968,102018,102885,103674,103905,104188,104535,105026,105562,106282,107303,108499,109550,110742,111959,113175,114266,115209,116302,117290,118294,118890,119549,120172,120964,121407,122129,122975,124314,125710,127128,128113,128823,129457,130459,131380,132568,133683,134958,136012,137066,138041,139241,140636,142398,144184,145684,146865,147833,148948,150305,151521,152626,153434,154236,155039,156049,157036,157659,158157,158845,159350,159582,159521,160277,161348,162795,164165,166027,168046,169919,170750,170875,171203,172302,174695,177662,181345,184816,188197,191465,194639,197463,200162,202932,204625,204638,202724,201095,200275,200713,202930,206553,210923,214015,215802,216569,216232,215013,213508,212879,212872,212959,213205
34,Fresno,CA,99985,100036,99226,98519,97793,97998,98400,98979,99585,100103,100547,100980,101216,101443,101752,102454,103428,104663,106121,107443,108685,109734,110814,111658,112209,112756,113528,114660,116024,117903,120179,122695,125057,127344,129501,131667,133511,135083,136727,139471,142737,145978,148895,152213,155708,158955,161914,164580,166701,168758,171450,175071,179313,183347,187922,192746,197738,201650,205363,208785,212554,215960,220189,225492,230879,235872,240739,246363,251362,255808,259538,263861,267045,269034,271110,273125,275175,276793,278177,278894,278777,277708,276229,274668,273754,273403,271936,270252,267281,264669,261915,260049,257274,254021,249121,243946,239378,234767,230058,223862,219559,215325,210459,203001,194735,187369,181464,176375,171218,167306,164239,161446,157763,153914,151212,149448,148375,147390,146908,147155,148254,149532,150825,151218,151011,150339,148562,146237,143862,142883,142988,142596,140755,137842,135155,133144,131186,129682,128493,127169,126276,125248,124842,124003,123727,124262,125250,126556,127912,129356,130623,131801,133174,135044,136851,138641,140038,141508,142895,144671,146885,149428,151721,153950,156397,159367,161990,163707,164763,165732,167052,168566,170386,171965,173085,173705,174152,174763,175643,176709,177486,177887,178092,178588,179413,180456,181679,183278,185103,187165,188718,190178,191452,192723,193492,194080,194434,195048,195623,196741,198114,199763,201208,202767,204309,205973,207459,209031,210507,212094,213557,215068,216505,218227,220001,222152,224583,227226,229720,231609,233326,234795,236549,238213,239656,240713,241336,242197,243630,245651,247459,248423,248697,248910,249098,249745,250353,251442,252639,253994,255421,256624,257994,259125,259650,259755,260104,261819,264907,268861,273245,277637,282090,286533,291207,295960,300743,305466,309810,313235,315641,317939,321007,324858,329766,335537,342109,348380,353730,357591,359546,359478,357958,356224,354443,352467,350187
35,Milwaukee,WI,64297,64347,64425,64524,64658,64832,65121,65542,66045,66590,67104,67602,68073,68480,68828,69187,69540,69945,70405,70965,71596,72188,72704,73139,73558,73966,74290,74548,74814,75138,75526,75970,76474,77002,77564,78161,78781,79319,79821,80362,81036,81763,82670,83641,84660,85514,86291,87018,87665,88228,88679,89169,89833,90751,91914,93122,94278,95550,96715,97837,98551,99134,99684,100544,101612,102852,104042,105316,106517,107562,108405,109098,109625,110211,110693,111166,111401,111507,111651,111863,112200,112511,112893,113157,113437,113555,113734,113875,113934,113964,113749,113444,113059,112742,112459,112127,111862,111270,110448,109504,108884,108573,108103,107418,106359,104918,103223,101635,99422,97867,96616,96428,96065,95733,95138,94706,94142,93709,92891,91914,91349,91289,91650,92130,92475,92458,91916,90515,88322,86147,84269,82944,81731,80716,79737,78711,77657,76812,75831,74905,74103,73415,72944,72125,71398,70717,70416,70498,71054,72170,73276,74076,74507,74794,74704,74386,73881,73588,73395,73717,74329,75126,75803,76783,77652,78621,78972,79485,79490,79566,79785,80431,81545,82443,83637,84504,85125,85206,85274,85531,85773,85927,86309,86958,87915,88616,89177,89484,89646,89831,90044,90647,91510,92443,93069,93509,93683,93860,93828,94096,94633,95523,96594,97618,98582,99242,99961,100595,101135,101435,101801,102166,102695,103175,103910,104946,106115,107187,108047,108859,109624,110092,110524,111116,112071,112866,113758,114870,116611,118621,120470,121683,122329,122436,122611,122770,123183,123649,124379,125525,127109,128863,130412,131622,132231,132437,132590,133262,134816,137201,140235,143463,146666,149896,152997,155813,158309,160782,162289,162696,161927,161145,160756,160867,162165,164555,167539,170377,172285,173884,174379,174060,173057,172450,172565,173166,174111
36,Omaha,NE,113156,113370,113539,113973,114249,114373,114331,114366,114535,114733,115011,115309,115812,116158,116393,116418,116576,116853,117241,117569,117872,118071,118279,118532,118887,119250,119600,119915,120318,120666,120948,121189,121539,121941,122347,122775,123304,123863,124384,124873,125448,125975,126582,127033,127636,128149,128785,129419,130084,130801,131461,132132,132832,133495,134165,134749,134938,134923,134850,135215,135670,136107,136531,137046,137652,138098,138483,138812,139333,139891,140469,140851,141269,141664,142115,142607,143152,143669,144089,144250,144526,144889,145404,145741,145950,146056,146159,146194,146183,145558,145341,145270,145558,144961,144176,143360,142497,141376,140323,139658,139283,139069,138834,138340,137391,136216,135025,133973,133106,132678,133203,133764,134485,134854,135283,135709,136421,137379,138157,139042,140070,140912,140941,141319,141641,141663,140267,138159,136084,134388,132941,132046,131826,132009,132067,131219,130611,130206,130210,130230,129967,129880,129836,129543,128752,127920,127650,128023,128369,128842,129271,129885,130422,130993,131400,131716,131840,132140,132558,133156,133475,133792,134191,134840,135352,135841,136190,136580,136609,136703,136881,137539,138201,138873,139394,139986,140326,140602,140909,141339,141783,142279,142860,143680,144443,145333,146207,147323,148276,149180,149871,150618,151334,152108,152774,153490,154066,154738,155289,155932,156653,157440,158308,158962,159546,160140,161150,162493,163865,165142,166150,167034,167920,168932,170041,171147,172252,173404,174501,175446,176345,177155,178193,179087,180004,180531,181186,181736,182635,183632,184732,185727,186541,187450,188280,189227,190115,191157,192357,193764,195415,196992,198422,199434,200030,200518,201421,203072,205504,208260,211243,214029,216887,219756,223030,226295,229506,232151,233721,233900,232925,232095,232214,233330,235909,239785,244548,249066,252634,255133,256019,255483,254172,253448,253572,254286,254937
37,Oklahoma City,OK,67778,67935,68103,68401,68715,69016,69361,69681,69942,70181,70378,70637,70837,71084,71346,71644,71906,72126,72348,72583,72824,73043,73211,73420,73625,73903,74160,74453,74726,74956,75199,75453,75705,75931,76172,76476,76735,76934,77143,77469,77848,78177,78509,78889,79286,79633,79938,80271,80591,80936,81270,81623,81995,82372,82753,83109,83508,83965,84373,84760,85113,85480,85857,86295,86775,87185,87577,87982,88433,88841,89182,89483,89778,90170,90611,91026,91416,91843,92275,92645,92920,93179,93458,93770,94036,94165,94204,94277,94417,94645,94876,95102,95184,95229,95271,95281,95035,94722,94434,94471,94656,94930,94991,94874,94757,94758,94534,94193,93794,93690,93615,93646,93601,93604,93566,93635,93692,93616,93706,93892,94242,94547,94902,95160,95385,95373,95236,94902,94475,93820,93074,92494,92365,92417,92439,92277,91965,91567,91217,91075,91006,90904,90719,90564,90451,90183,89858,89509,89424,89602,90004,90356,90614,90694,91026,91468,92055,92228,92250,92282,92365,92655,92869,93313,93727,94595,95641,96529,97066,97220,97303,97359,97794,98446,99245,99875,100567,101200,102005,102928,103710,104131,104340,104458,104787,105083,105468,105807,106205,106358,106081,105542,105345,105817,106646,107713,108696,109490,110139,110823,111617,111967,111677,110961,110394,110350,110706,111371,112068,112844,113540,114195,114810,115886,117286,118861,119901,120415,120660,120911,121032,120844,120850,121070,121580,122149,122940,123790,124478,125274,125982,126564,126990,127564,128216,128696,129131,129811,130878,132296,133941,135400,136343,136692,136672,136711,136989,137870,139392,141445,143809,146145,148022,149555,150976,152800,155031,157474,159323,160457,160981,161944,163449,165440,168081,171108,174432,177400,179882,182027,183592,184506,184965,185584,186707,187693,188078
